PRODUCTO;MARCA;CODIGO;DESCRIPCION;EQUIVALENCIAS;APLICACIÓN;INFO;imagen
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación Miata ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación MX-3 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación MX-5 1.6 / 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MITSUBISHI - Continuación Mirage 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MITSUBISHI - Continuación Pajero io 1.6  (4G18) / 1.8 (4G93);;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;NISSAN New  Sentra ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;NISSAN Sentra 1.6 16v (GA 16 DE);;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;NISSAN Sunny B14 ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.6 (4A-FE)4WD/ 1.8 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR5EYA-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.6 (3ZZ-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR5EYA-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.8 16v / DOHC VVTi ( 1ZZ-FE );;;;None.jpg
Bujia de encendido;NGK; - BKR5EYA-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.8 16v / VVTI;;;;None.jpg
Bujia de encendido;NGK; - BKR5EYA-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.6 (3ZZ-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR5EYA-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.8 16v / DOHC VVTi ( 1ZZ-FE );;;;None.jpg
Bujia de encendido;NGK; - BKR5EYA-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.8 16v / VVTI;;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ - BKR5EGP - BKR5EIX;Duna Fiorino Fiorino 1.3  8v Fire ( 68cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ - BKR5EGP - BKR5EIX;Multicarga Palio 1.3  8v Fire;;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ - BKR5EGP - BKR5EIX;FIAT - Continuación Strada 1.4 8v / Fire ( 87cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ - BKR5EGP - BKR5EIX;Duna Fiorino Fiorino 1.3  8v Fire ( 68cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ - BKR5EGP - BKR5EIX;Multicarga Palio 1.3  8v Fire;;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ - BKR5EGP - BKR5EIX;FIAT - Continuación Strada 1.4 8v / Fire ( 87cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ/ BKR5E -  - ;Uno Uno 1.3  8v Fire (Con dos Bobinas Apartadas);;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ/ BKR5E -  - ;Uno Uno 1.3 8v Fire (Bobina con uno solo cuerpo/68cv);;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ/ BKR5E -  - ;Uno Uno 1.3  8v Fire (Con dos Bobinas Apartadas);;;;None.jpg
Bujia de encendido;NGK; - BKR5EZ/ BKR5E -  - ;Uno Uno 1.3 8v Fire (Bobina con uno solo cuerpo/68cv);;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;CHERY Fulwin 1.5 16v ( ACTECO-SQR477F );;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;CHRYSLER (DODGE / JEEP) Neon 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;FIAT - Continuación Marea SX 1.6  16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;Palio Weekend Palio Weekend 1.6 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;Tipo Uno 1.0 8v ( 73 cv );;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Accord 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Civic 1.5 16v LSI / CRX;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Integra 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Prelude 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;KIA MOTORS Carens 1.8 / DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;MERCEDES BENZ 230 CLK  Kompressor 2.3  16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;MITSUBISHI - Continuación Sigma 3.0 24v V6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;MITSUBISHI - Continuación 3000GT 3.0 24v V6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;NISSAN NX 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;RENAULT Logan 1.6 8v ( 90 cv - K7M );;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 214 1.4 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 220 1.4 16v / 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 414 1.4 Sli;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 414 1.4 16v / 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 420 2.0 24v V6 Si;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 827 24v V6 Si;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER Discovery 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;SUBARU Forester 2.0 AWD;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;SUZUKI Baleno 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;CHERY Fulwin 1.5 16v ( ACTECO-SQR477F );;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;CHRYSLER (DODGE / JEEP) Neon 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;FIAT - Continuación Marea SX 1.6  16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;Palio Weekend Palio Weekend 1.6 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;Tipo Uno 1.0 8v ( 73 cv );;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Accord 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Civic 1.5 16v LSI / CRX;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Integra 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;HONDA Prelude 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;KIA MOTORS Carens 1.8 / DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;MERCEDES BENZ 230 CLK  Kompressor 2.3  16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;MITSUBISHI - Continuación Sigma 3.0 24v V6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;MITSUBISHI - Continuación 3000GT 3.0 24v V6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;NISSAN NX 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;RENAULT Logan 1.6 8v ( 90 cv - K7M );;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 214 1.4 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 220 1.4 16v / 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 414 1.4 Sli;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 414 1.4 16v / 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 420 2.0 24v V6 Si;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER 827 24v V6 Si;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;ROVER Discovery 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;SUBARU Forester 2.0 AWD;;;;None.jpg
Bujia de encendido;NGK; - BKR6E - BKR6EGP - BKR6EIX;SUZUKI Baleno 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E / BKR6EZ -  - ;PEUGEOT 207 1.4 ( 75 cv - TU3A - KFV );;;;None.jpg
Bujia de encendido;NGK; - BKR6E / BKR6EZ -  - ;PEUGEOT 207 1.4 ( 75 cv - TU3A - KFV );;;;None.jpg
Bujia de encendido;NGK; - BKR6E/ BKR6EZ -  - ;Fiorino Fiorino Qubo 1.4 8v ( 73cv );;;;None.jpg
Bujia de encendido;NGK; - BKR6E/ BKR6EZ -  - ;Fiorino Fiorino Qubo 1.4 8v ( 73cv );;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;CHEVROLET (GM) Aveo 1.6 16v / DOHC ( 103 cv - FAM );;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;"DAEWOO Cielo / Lanos /
LeMans / Nubira 1.5 / 1.6 DOHC";;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;DAEWOO Espero 1.5 DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;DAIHATSU Applause 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;Applause Charade 1.3 (HC-E);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;DAIHATSU - Continuación Feroza ;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;Feroza Feroza SE 4X4 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;HONDA Civic 1.5 / DX / LX / EX - Carburado;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;HONDA Fit 1.4i  LX / EX / DSI  Twin Spark;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;ISUZU (CHEVROLET) Rodeo 3.2 V6 S/LS;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;ISUZU (CHEVROLET) Trooper 3.2 V6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;KIA MOTORS Avella 1.5 16v / DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;KIA MOTORS Clarus 2.0 16v / DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;MITSUBISHI - Continuación Space Wagon 1.8 MPI (4G93);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;NISSAN 240 SX (KA24DE);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;ROVER 416 1.6 16v Sli;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Forester 2.0 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Impreza 1.6 / 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Legacy 1.8 / 2.0 / 2.2;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Legacy 2.0 (EJ20);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUZUKI Grand Vitara 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;CHEVROLET (GM) Aveo 1.6 16v / DOHC ( 103 cv - FAM );;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;"DAEWOO Cielo / Lanos /
LeMans / Nubira 1.5 / 1.6 DOHC";;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;DAEWOO Espero 1.5 DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;DAIHATSU Applause 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;Applause Charade 1.3 (HC-E);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;DAIHATSU - Continuación Feroza ;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;Feroza Feroza SE 4X4 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;HONDA Civic 1.5 / DX / LX / EX - Carburado;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;HONDA Fit 1.4i  LX / EX / DSI  Twin Spark;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;ISUZU (CHEVROLET) Rodeo 3.2 V6 S/LS;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;ISUZU (CHEVROLET) Trooper 3.2 V6;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;KIA MOTORS Avella 1.5 16v / DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;KIA MOTORS Clarus 2.0 16v / DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;MITSUBISHI - Continuación Space Wagon 1.8 MPI (4G93);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;NISSAN 240 SX (KA24DE);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;ROVER 416 1.6 16v Sli;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Forester 2.0 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Impreza 1.6 / 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Legacy 1.8 / 2.0 / 2.2;;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUBARU Legacy 2.0 (EJ20);;;;None.jpg
Bujia de encendido;NGK; - BKR6E-11 - BKR6EGP - BKR6EIX-11;SUZUKI Grand Vitara 2.0;;;;None.jpg
Bujia de encendido;NGK; - BKR6EN-11 -  - ;HONDA Civic 1.6 16v / Vti ( D16Z6 );;;;None.jpg
Bujia de encendido;NGK; - BKR6EN-11 -  - ;HONDA Civic 1.6 16v / Vti ( D16Z6 );;;;None.jpg
Bujia de encendido;NGK; - BKR6EY - BKR6EGP - BKR6EIX;NISSAN Pathfinder 3.0 V6 EFI (VG30E);;;;None.jpg
Bujia de encendido;NGK; - BKR6EY - BKR6EGP - BKR6EIX;NISSAN Pathfinder 3.0 V6 EFI (VG30E);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA - BKR6EGP - BKR6EIX;TOYOTA Corolla 1.6 16v (4A-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA - BKR6EGP - BKR6EIX;TOYOTA Corolla 1.8 16v (7A-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA - BKR6EGP - BKR6EIX;TOYOTA Corolla 1.6 16v (4A-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA - BKR6EGP - BKR6EIX;TOYOTA Corolla 1.8 16v (7A-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA-11 - BKR6EGP - BKR6EIX-11;TOYOTA Carina Il 2.0 (3S-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA-11 - BKR6EGP - BKR6EIX-11;TOYOTA Celica 2.0 (3S-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA-11 - BKR6EGP - BKR6EIX-11;TOYOTA Carina Il 2.0 (3S-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EYA-11 - BKR6EGP - BKR6EIX-11;TOYOTA Celica 2.0 (3S-FE);;;;None.jpg
Bujia de encendido;NGK; - BKR6EZ - BKR6EGP - BKR6EIX;CITROËN Berlingo 1.4i (TU3JP KFX / KFW);;;;None.jpg
Bujia de encendido;NGK; - BKR6EZ - BKR6EGP - BKR6EIX;CITROËN C3 1.4i  8v (  TU3JP );;;;None.jpg
Bujia de encendido;NGK; - BKR6EZ - BKR6EGP - BKR6EIX;Linea Linea 1.9 16v ( 132 cv );;;;None.jpg
